Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Albert Town,,Albert Town,SM9315,Anheddiad,,Sir Benfro,Pembrokeshire
Allt,,Allt,SN5502,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Allt y Main,,Allt y Main,SJ1615,Nodwedd tir,,Powys,Powys
Alltami,,Alltami,SJ2765,Anheddiad,,Sir y Fflint,Flintshire
Allteuryn,,Goldcliff,ST3683,Anheddiad,,Casnewydd,Newport
Alltmelyd,,Meliden,SJ0680,Anheddiad,,Sir Ddinbych,Denbighshire
Alltwalis,,Alltwalis,SN4431,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Allt-wen,,Allt-wen,SN7203,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Alltyblaca,,Alltyblaca,SN5245,Anheddiad,,Ceredigion,Ceredigion
Alltyrodyn,,Alltyrodyn,SN4444,Nodwedd o waith dyn,,Ceredigion,Ceredigion
Allt-yr-ynn,,Allt-yr-ynn,ST3088,Anheddiad,,Casnewydd,Newport
Alport,,Alport,SO2795,Anheddiad,,Powys,Powys
Alway,,Alway,ST3488,Anheddiad,,Casnewydd,Newport
Amlwch,,Amlwch,SH4492,Anheddiad,,Ynys Môn,Isle of Anglesey
Amroth,,Amroth,SN1607,Anheddiad,,Sir Benfro,Pembrokeshire
Anelog,,Anelog,SH1527,Anheddiad,,Gwynedd,Gwynedd
Angle,,Angle,SM8602,Anheddiad,,Sir Benfro,Pembrokeshire
Arberth,,Narberth,SN1014,Anheddiad,,Sir Benfro,Pembrokeshire
Ardd-lin,,Arddleen,SJ2515,Anheddiad,,Powys,Powys
Argoed,,Argoed,SO1700,Anheddiad,,Caerffili,Caerphilly
Arthog,,Arthog,SH6414,Anheddiad,,Gwynedd,Gwynedd
"As Fach, Yr",,Nash,SS9672,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
"As Fawr, Yr",,Monknash,SS9170,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Ashfield,,Ashfield,SN6928,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Aston,,Aston,SJ3067,Anheddiad,,Sir y Fflint,Flintshire
Atpar,,Atpar,SN3041,Anheddiad,,Ceredigion,Ceredigion
Babel,,Babel,SN8335,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Babell,,Babell,SJ1573,Anheddiad,,Sir y Fflint,Flintshire
Babylon,,Babylon,SJ3260,Anheddiad,,Sir y Fflint,Flintshire
Bachau,,Bachau,SH4383,Anheddiad,,Ynys Môn,Isle of Anglesey
Bachygwreiddyn,,Bachygwreiddyn,SN6000,Anheddiad,,Abertawe,Swansea
Bae Cinmel,,Kinmel Bay,SH9880,Anheddiad,,Conwy,Conwy
Bae Colwyn,,Colwyn Bay,SH8678,Anheddiad,,Conwy,Conwy
Bagillt,,Bagillt,SJ2275,Anheddiad,,Sir y Fflint,Flintshire
Baglan,,Baglan,SS7592,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
"Bala, Y",,"Bala, Y",SH9235,Anheddiad,,Gwynedd,Gwynedd
Ballan,,Ballan,ST4889,Ardal,,Sir Fynwy,Monmouthshire
Banc Darren Fawr,,Banc Darren Fawr,SN6506,Nodwedd tir,,Abertawe,Swansea
Banc Myddfai,,Banc Myddfai,SN6505,Nodwedd tir,,Abertawe,Swansea
Bancffosfelen,,Bancffosfelen,SN4812,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bancycapel,,Bancycapel,SN4315,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bancydarren,,Bancydarren,SN6782,Anheddiad,,Ceredigion,Ceredigion
Bancyfelin,,Bancyfelin,SN3217,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Banc-y-ffordd,,Banc-y-ffordd,SN4037,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bancymansel,,Bancymansel,SN5214,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Baneswell,,Baneswell,ST3187,Anheddiad,,Casnewydd,Newport
Bangor,,Bangor,SH5771,Anheddiad,,Gwynedd,Gwynedd
Bangor Is-y-coed,,Bangor-on-Dee,SJ3945,Anheddiad,,Wrecsam,Wrexham
Bangor Teifi,,Bangor Teifi,SN3740,Anheddiad,,Ceredigion,Ceredigion
Bangor Uchaf,,Upper Bangor,SH5772,Anheddiad,,Gwynedd,Gwynedd
Banwen,,Banwen,SN8509,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Barbadoes Green,,Barbadoes Green,SO5201,Ardal,,Sir Fynwy,Monmouthshire
Barclodiad y Gawres,,Barclodiad y Gawres,SH3270,Nodwedd o waith dyn,,Ynys Môn,Isle of Anglesey
Bargod,Bargoed,Bargoed,ST1599,Anheddiad,,Caerffili,Caerphilly
Barland,,Barland,SO2862,Anheddiad,,Powys,Powys
Barnardtown,,Barnardtown,ST3188,Anheddiad,,Casnewydd,Newport
Barrack Hill,,Barrack Hill,ST3089,Anheddiad,,Casnewydd,Newport
"Barri, Y",,Barry,ST1167,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Basaleg,,Basaleg,ST2787,Anheddiad,,Casnewydd,Newport
"Batel, Y",,Battle,SO0031,Anheddiad,,Powys,Powys
Beaufort Hill,,Beaufort Hill,SO1711,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Beddau,,Beddau,ST0685,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Beddgelert,,Beddgelert,SH5848,Anheddiad,,Gwynedd,Gwynedd
Bedlinog,,Bedlinog,SO0901,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Bedlwyn,,Bedlwyn,SJ2355,Anheddiad,,Sir y Fflint,Flintshire
Bedwas,,Bedwas,ST1789,Anheddiad,,Caerffili,Caerphilly
Bedwell,,Bedwell,SJ3646,Anheddiad,,Wrecsam,Wrexham
Bedwellte,,Bedwellty,SO1600,Anheddiad,,Caerffili,Caerphilly
Bedw-lwyn,,Bedw-lwyn,SJ2236,Anheddiad,,Wrecsam,Wrexham
Beechwood,,Beechwood,ST3388,Anheddiad,,Casnewydd,Newport
Began,,Began,ST2383,Anheddiad,,Casnewydd,Newport
Begeli,,Begelly,SN1207,Anheddiad,,Sir Benfro,Pembrokeshire
Beggars Pound,,Beggars Pound,ST0168,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Beili-glas,,Beili-glas,SO3010,Anheddiad,,Sir Fynwy,Monmouthshire
Belan,,Belan,SJ2004,Anheddiad,,Powys,Powys
Belgrano,,Belgrano,SH9578,Anheddiad,,Conwy,Conwy
Bengal,,Bengal,SM9532,Anheddiad,,Sir Benfro,Pembrokeshire
Benllech,,Benllech,SH5182,Anheddiad,,Ynys Môn,Isle of Anglesey
Bentlass,,Bentlass,SM9601,Anheddiad,,Sir Benfro,Pembrokeshire
Berllangollen,,Berllangollen,ST1986,Anheddiad,,Caerffili,Caerphilly
"Bermo, Y",,Barmouth,SH6115,Anheddiad,,Gwynedd,Gwynedd
Berry,,Berry,SS4787,Anheddiad,,Abertawe,Swansea
Bers,,Bersham,SJ3049,Anheddiad,,Wrecsam,Wrexham
Berth-ddu,,Berth-ddu,SJ2169,Anheddiad,,Sir y Fflint,Flintshire
Berthen-gam,,Berthen-gam,SJ1179,Anheddiad,,Sir y Fflint,Flintshire
Berth-lwyd,,Berth-lwyd,SS5696,Ardal,,Abertawe,Swansea
Berwyn,,Berwyn,SJ1943,Anheddiad,,Sir Ddinbych,Denbighshire
Bethania,,Bethania,SH7045,Anheddiad,,Gwynedd,Gwynedd
Bethania,,Bethania,SN5763,Anheddiad,,Ceredigion,Ceredigion
Bethel,,Bethel,SH3970,Anheddiad,,Ynys Môn,Isle of Anglesey
Bethel,,Bethel,SH5265,Anheddiad,,Gwynedd,Gwynedd
Bethel,,Bethel,SH9839,Anheddiad,,Gwynedd,Gwynedd
Bethesda,,Bethesda,SH6266,Anheddiad,,Gwynedd,Gwynedd
Bethesda,,Bethesda,SN0918,Anheddiad,,Sir Benfro,Pembrokeshire
Bethesda Bach,,Bethesda Bach,SH4657,Anheddiad,,Gwynedd,Gwynedd
Bethlehem,,Bethlehem,SN6825,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bettisfield,,Bettisfield,SJ4635,Anheddiad,,Wrecsam,Wrexham
Betws,,Betws,SO2919,Anheddiad,,Sir Fynwy,Monmouthshire
Betws,,Betws,ST2990,Anheddiad,,Casnewydd,Newport
Betws,,Betws,SS8986,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
"Betws, Y",,"Betws, Y",SN6311,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Betws Bledrws,,Betws Bledrws,SN5951,Anheddiad,,Ceredigion,Ceredigion
Betws Garmon,,Betws Garmon,SH5357,Anheddiad,,Gwynedd,Gwynedd
Betws Gwerful Goch,,Betws Gwerful Goch,SJ0346,Anheddiad,,Sir Ddinbych,Denbighshire
Betws Ifan,,Betws Ifan,SN3047,Anheddiad,,Ceredigion,Ceredigion
Betws Newydd,,Betws Newydd,SO3606,Anheddiad,,Sir Fynwy,Monmouthshire
Betws-y-coed,,Betws-y-coed,SH7956,Anheddiad,,Conwy,Conwy
Betws-yn-Rhos,,Betws-yn-Rhos,SH9073,Anheddiad,,Conwy,Conwy
Beulah,,Beulah,SN2846,Anheddiad,,Ceredigion,Ceredigion
Beulah,,Beulah,SN9251,Anheddiad,,Powys,Powys
Big Arowry,,Big Arowry,SJ4539,Anheddiad,,Wrecsam,Wrexham
Bigyn,,Bigyn,SS5199,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bishpool,,Bishpool,ST3488,Anheddiad,,Casnewydd,Newport
Biwmares,,Beaumaris,SH6076,Anheddiad,,Ynys Môn,Isle of Anglesey
Black Vein,,Black Vein,ST2291,Anheddiad,,Caerffili,Caerphilly
Blackpill,,Blackpill,SS6190,Anheddiad,,Abertawe,Swansea
Blackrock,,Blackrock,ST5088,Anheddiad,,Sir Fynwy,Monmouthshire
Blackrock,,Blackrock,SO2112,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Blaen Nanmor,,Blaen Nanmor,SH6349,Ardal,,Gwynedd,Gwynedd
Blaenafon,,Blaenafon,SO2509,Anheddiad,,Torfaen,Torfaen
Blaenaman,,Blaenaman,SS9899,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaenannerch,,Blaenannerch,SN2449,Anheddiad,,Ceredigion,Ceredigion
Blaenau,,Blaenau,SJ2455,Anheddiad,,Sir y Fflint,Flintshire
Blaenau,,Blaina,SO2008,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Blaenau Ffestiniog,,Blaenau Ffestiniog,SH7045,Anheddiad,,Gwynedd,Gwynedd
Blaenau Gwent,,Blaenau Gwent,SO2104,Ardal,,Blaenau Gwent,Blaenau Gwent
Blaencarno,,Blaencarno,SO0908,Anheddiad,,Caerffili,Caerphilly
Blaencelyn,,Blaencelyn,SN3554,Anheddiad,,Ceredigion,Ceredigion
Blaencil-llech,,Blaencil-llech,SN3243,Anheddiad,,Ceredigion,Ceredigion
Blaenclydach,,Blaenclydach,SS9893,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaen-cwm,,Blaen-cwm,SS9298,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaencwmboi,,Blaencwmboi,ST0299,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaendulais,,Seven Sisters,SN8108,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Blaen-ffos,,Blaen-ffos,SN1937,Anheddiad,,Sir Benfro,Pembrokeshire
Blaengarw,,Blaengarw,SS9092,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Blaengeuffordd,,Blaengeuffordd,SN6480,Anheddiad,,Ceredigion,Ceredigion
Blaen-gwawr,,Blaen-gwawr,SO0001,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaen-gwrach,,Blaen-gwrach,SN8605,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Blaengwynfi,,Blaengwynfi,SS8996,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Blaenhalen,,Blaenhalen,SN3339,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Blaenhonddan,,Blaenhonddan,SN7500,Cymuned,,Castell-nedd Port Talbot,Neath Port Talbot
Blaenllechau,,Blaenllechau,ST0097,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaen-nos,,Blaen-nos,SN7534,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Blaenpennal,,Blaenpennal,SN6264,Anheddiad,,Ceredigion,Ceredigion
Blaen-plwyf,,Blaen-plwyf,SN5775,Anheddiad,,Ceredigion,Ceredigion
Blaen-porth,,Blaen-porth,SN2648,Anheddiad,,Ceredigion,Ceredigion
Blaenrhondda,,Blaenrhondda,SS9200,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Blaenrhymni,,Blaenrhymni,SO1010,Ardal,,Caerffili,Caerphilly
Blaen-waun,,Blaen-waun,SN2327,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Blaen-waun,,Blaen-waun,SN3953,Ardal,,Ceredigion,Ceredigion
Blaen-y-coed,,Blaen-y-coed,SN3427,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Blaen-y-cwm,,Mountain Air,SO1509,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Bleddfa,,Bleddfa,SO2068,Anheddiad,,Powys,Powys
Blue Anchor,,Blue Anchor,SS5495,Anheddiad,,Abertawe,Swansea
Bochrwyd,,Boughrood,SO1339,Anheddiad,,Powys,Powys
Bodedern,,Bodedern,SH3380,Anheddiad,,Ynys Môn,Isle of Anglesey
Bodelwyddan,,Bodelwyddan,SJ0075,Anheddiad,,Sir Ddinbych,Denbighshire
Bodewryd,,Bodewryd,SH3990,Anheddiad,,Ynys Môn,Isle of Anglesey
Bodfari,,Bodfari,SJ0970,Anheddiad,,Sir Ddinbych,Denbighshire
Bodffordd,,Bodffordd,SH4276,Anheddiad,,Ynys Môn,Isle of Anglesey
Bodorgan,,Bodorgan,SH3767,Ardal,,Ynys Môn,Isle of Anglesey
Bodringallt,,Bodringallt,SS9895,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Boduan,,Boduan,SH3237,Anheddiad,,Gwynedd,Gwynedd
Bodwrog,,Bodwrog,SH4077,Anheddiad,,Ynys Môn,Isle of Anglesey
Bola-haul,,Bola-haul,SN4218,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bolgoed,,Bolgoed,SN6002,Ardal,,Abertawe,Swansea
Boncath,,Boncath,SN2038,Anheddiad,,Sir Benfro,Pembrokeshire
Bont,,Bont,SO3819,Anheddiad,,Sir Fynwy,Monmouthshire
"Bont-ddu, Y",,"Bont-ddu, Y",SH6718,Anheddiad,,Gwynedd,Gwynedd
Bontdolgadfan,,Bontdolgadfan,SH8800,Anheddiad,,Powys,Powys
"Bont-faen, Y",,Cowbridge,SS9974,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
"Bont-faen, Y",,Forge,SN7699,Anheddiad,,Powys,Powys
Bont-fawr,,Bont-fawr,SN7126,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bont-goch,,Bont-goch,SN6886,Anheddiad,,Ceredigion,Ceredigion
Bontnewydd,,Bontnewydd,SN6165,Anheddiad,,Ceredigion,Ceredigion
Bontnewydd,,Bontnewydd,SJ0170,Anheddiad,,Conwy,Conwy
"Bontnewydd, Y",,"Bontnewydd, Y",SH4860,Anheddiad,,Gwynedd,Gwynedd
"Bontnewydd, Y",,"Bontnewydd, Y",SH7720,Ardal,,Gwynedd,Gwynedd
"Bontnewydd-ar-Wy, Y",,Newbridge on Wye,SO0158,Anheddiad,,Powys,Powys
Bontuchel,,Bontuchel,SJ0857,Anheddiad,,Sir Ddinbych,Denbighshire
Bôn-y-maen,,Bôn-y-maen,SS6795,Ardal,,Abertawe,Swansea
Borras,,Borras,SJ3452,Anheddiad,,Wrecsam,Wrexham
"Borth, Y",,"Borth, Y",SN6089,Anheddiad,,Ceredigion,Ceredigion
"Borth Uchaf, Y",,Upper Borth,SN6088,Anheddiad,,Ceredigion,Ceredigion
Borth-y-Gest,,Borth-y-Gest,SH5637,Anheddiad,,Gwynedd,Gwynedd
Bosherston,,Bosherston,SR9694,Anheddiad,,Sir Benfro,Pembrokeshire
Botany Bay,,Botany Bay,SO5102,Anheddiad,,Sir Fynwy,Monmouthshire
Botwnnog,,Botwnnog,SH2631,Anheddiad,,Gwynedd,Gwynedd
Boulston,,Boulston,SM9712,Anheddiad,,Sir Benfro,Pembrokeshire
Bourneville,,Bourneville,SO2006,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Bow Street,,Bow Street,SN6284,Anheddiad,,Ceredigion,Ceredigion
Bowling Bank,,Bowling Bank,SJ3948,Anheddiad,,Wrecsam,Wrexham
Box,,Box,SN5100,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Boys Village,,Boys Village,ST0267,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Bracla,,Brackla,SS9280,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Bradle,,Bradley,SJ3253,Anheddiad,,Wrecsam,Wrexham
Braichmelyn,,Braichmelyn,SH6265,Ardal,,Gwynedd,Gwynedd
Braichtalog,,Braichtalog,SH6067,Anheddiad,,Gwynedd,Gwynedd
Braichycymer,,Braichycymer,SS9090,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Brechfa,,Brechfa,SN5230,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Bretton,,Bretton,SJ3563,Anheddiad,,Sir y Fflint,Flintshire
Breudeth,,Brawdy,SM8424,Anheddiad,,Sir Benfro,Pembrokeshire
Bridell,,Bridell,SN1742,Anheddiad,,Sir Benfro,Pembrokeshire
Britannia,,Britannia,ST1598,Anheddiad,,Caerffili,Caerphilly
Brithdir,,Brithdir,SH7618,Ardal,,Gwynedd,Gwynedd
Brithdir,,Brithdir,SO1502,Anheddiad,,Caerffili,Caerphilly
British,,British,SO2503,Anheddiad,,Torfaen,Torfaen
"Britwn, Y",,Burton,ST0367,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Broadlay,,Broadlay,SN3709,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
